power	row
4	[24]
5	[120 240]
6	[360 1440 1560]
7	[840 5040 10920 8400]
8	[1680 13440 43680 67200 40824]
9	[3024 30240 131040 302400 367416 186480]
10	[5040 60480 327600 1008000 1837080 1864800 818520]
11	[7920 110880 720720 2772000 6735960 10256400 9003720 3498000]
12	[11880 190080 1441440 6652800 20207880 41025600 54022320 41976000 14676024]
13	[17160 308880 2676960 14414400 52540488 133333200 234096720 272844000 190788312 60780720]
14	[24024 480480 4684680 28828800 122594472 373332960 819338520 1273272000 1335518184 850930080 249401880]
